iter	Passed	Remaining
800	1272	316
801	1274	314
802	1275	312
803	1277	311
804	1278	309
805	1280	308
806	1281	306
807	1282	304
808	1284	303
809	1286	301
810	1287	300
811	1289	298
812	1291	296
813	1292	295
814	1294	293
815	1296	292
816	1297	290
817	1298	289
818	1300	287
819	1302	285
820	1304	284
821	1305	282
822	1307	281
823	1308	279
824	1310	277
825	1312	276
826	1313	274
827	1314	273
828	1316	271
829	1317	269
830	1318	268
831	1320	266
832	1322	265
833	1324	263
834	1325	261
835	1327	260
836	1328	258
837	1330	257
838	1331	255
839	1333	253
840	1335	252
841	1336	250
842	1338	249
843	1340	247
844	1341	246
845	1342	244
846	1344	242
847	1346	241
848	1347	239
849	1349	238
850	1351	236
851	1352	234
852	1354	233
853	1356	231
854	1357	230
855	1359	228
856	1360	227
857	1362	225
858	1364	223
859	1365	222
860	1367	220
861	1368	219
862	1370	217
863	1372	216
864	1374	214
865	1375	212
866	1377	211
867	1379	209
868	1380	208
869	1382	206
870	1383	204
871	1384	203
872	1386	201
873	1388	200
874	1389	198
875	1391	196
876	1392	195
877	1394	193
878	1396	192
879	1397	190
880	1398	188
881	1400	187
882	1402	185
883	1403	184
884	1405	182
885	1407	181
886	1408	179
887	1410	177
888	1411	176
889	1412	174
890	1414	173
891	1415	171
892	1417	169
893	1419	168
894	1420	166
895	1422	165
896	1424	163
897	1425	161
898	1427	160
899	1428	158
900	1430	157
901	1432	155
902	1433	154
903	1435	152
904	1436	150
905	1438	149
906	1439	147
907	1441	146
908	1442	144
909	1444	142
910	1446	141
911	1447	139
912	1448	138
913	1450	136
914	1452	134
915	1453	133
916	1455	131
917	1456	130
918	1458	128
919	1459	126
920	1460	125
921	1462	123
922	1464	122
923	1465	120
924	1467	119
925	1469	117
926	1470	115
927	1472	114
928	1474	112
929	1475	111
930	1477	109
931	1478	107
932	1480	106
933	1481	104
934	1483	103
935	1484	101
936	1486	99
937	1487	98
938	1489	96
939	1490	95
940	1492	93
941	1494	91
942	1495	90
943	1497	88
944	1499	87
945	1501	85
946	1502	84
947	1504	82
948	1506	80
949	1507	79
950	1509	77
951	1511	76
952	1512	74
953	1514	73
954	1515	71
955	1517	69
956	1518	68
957	1520	66
958	1522	65
959	1523	63
960	1525	61
961	1527	60
962	1528	58
963	1530	57
964	1532	55
965	1534	53
966	1535	52
967	1537	50
968	1538	49
969	1540	47
970	1541	46
971	1543	44
972	1545	42
973	1546	41
974	1548	39
975	1550	38
976	1551	36
977	1552	34
978	1553	33
979	1555	31
980	1557	30
981	1558	28
982	1560	26
983	1561	25
984	1563	23
985	1564	22
986	1566	20
987	1567	19
988	1569	17
989	1570	15
990	1571	14
991	1573	12
992	1575	11
993	1576	9
994	1578	7
995	1580	6
996	1581	4
997	1583	3
998	1584	1
999	1586	0
