reaction,acid_chlorides,amines,is_valid,status,message,barriers_dGTS_from_RXTS_B,barriers_dGTS_from_INT1_B,rxn_dG_B,barriers_dGTS_from_PRDS_B,lowest_barrier_dGTS_path_B,imag_freq,used_constrained
rxn_08_41,8,41,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -110.02 cm-1
Breaking bond change: +0.099 Å, Forming bond change: -0.215 Å",10.35,19.68,-8.87,19.22,10.35,-110.02,FALSE
rxn_08_42,8,42,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -69.38 cm-1
Breaking bond change: +0.090 Å, Forming bond change: -0.172 Å",20.2,20,-7.67,27.87,20,-69.38,FALSE
rxn_08_43,8,43,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -63.59 cm-1,16.34,14.38,-7.95,24.29,14.38,-63.59,FALSE
rxn_08_45,8,45,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -58.50 cm-1,13.45,18,-10.87,24.32,13.45,-58.5,FALSE
rxn_08_46,8,46,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -39.59 cm-1,18.53,14.92,-7.54,26.07,14.92,-39.59,FALSE
rxn_08_47,8,47,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -41.37 cm-1,17.77,14.46,-7.24,25.01,14.46,-41.37,FALSE
rxn_08_48,8,48,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -153.40 cm-1,14.04,14.26,-4.92,18.96,14.04,-153.4,TRUE
rxn_09_01,9,1,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -165.67 cm-1,18.85,17.98,-9.93,28.78,17.98,-165.67,FALSE
rxn_09_03,9,3,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -149.10 cm-1,20.71,19.34,-6.98,27.69,19.34,-149.1,FALSE
rxn_09_04,9,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -118.67 cm-1,19.35,21.5,-7.71,27.06,19.35,-118.67,FALSE
rxn_09_05,9,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -163.61 cm-1,22.11,21.08,-6.39,28.5,21.08,-163.61,FALSE
rxn_09_06,9,6,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -46.59 cm-1,20.53,26.64,-7.37,27.9,20.53,-46.59,FALSE
rxn_09_07,9,7,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -167.39 cm-1,18.08,18.06,-9.79,27.87,18.06,-167.39,FALSE
rxn_09_08,9,8,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -17.09 cm-1,18.9,26.42,-7.7,26.6,18.9,-17.09,FALSE
rxn_09_09,9,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -201.11 cm-1,21.8,21.56,-8.93,30.73,21.56,-201.11,FALSE
rxn_09_10,9,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -167.76 cm-1,17.7,22.88,-7.16,24.86,17.7,-167.76,FALSE
rxn_09_11,9,11,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -260.01 cm-1
Breaking bond change: +0.115 Å, Forming bond change: -0.378 Å",20.15,17.21,-6.59,26.74,17.21,-260.01,TRUE
rxn_09_12,9,12,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -234.34 cm-1,17.16,16.92,-7.56,24.72,16.92,-234.34,TRUE
rxn_09_13,9,13,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -160.93 cm-1,14.45,19.24,-7.11,21.56,14.45,-160.93,FALSE
rxn_09_14,9,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -174.95 cm-1,16.81,19.38,-7.23,24.04,16.81,-174.95,FALSE
rxn_09_15,9,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -172.54 cm-1,19.04,22.15,-6.38,25.42,19.04,-172.54,FALSE
rxn_09_16,9,16,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -116.75 cm-1,21.58,20.59,-10.64,32.22,20.59,-116.75,FALSE
rxn_09_17,9,17,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -39.17 cm-1,20.64,20.87,-8.47,29.11,20.64,-39.17,FALSE
rxn_09_18,9,18,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -201.49 cm-1,19.28,21.81,-6.92,26.2,19.28,-201.49,FALSE
rxn_09_19,9,19,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -23.52 cm-1,14.13,11.99,-15.07,29.2,11.99,-23.52,FALSE
rxn_09_20,9,20,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -286.59 cm-1,16.42,16.21,-7.15,23.57,16.21,-286.59,TRUE
rxn_09_21,9,21,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -123.04 cm-1
Breaking bond change: +0.106 Å, Forming bond change: -0.298 Å",11.05,13.42,-6.73,17.78,11.05,-123.04,TRUE
rxn_09_22,9,22,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -231.49 cm-1,15.59,11.88,-8.54,24.13,11.88,-231.49,FALSE
rxn_09_23,9,23,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -257.60 cm-1,26.44,24.17,-1.58,28.02,24.17,-257.6,FALSE
rxn_09_24,9,24,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -175.26 cm-1,21.66,20.06,-6.52,28.18,20.06,-175.26,FALSE
rxn_09_25,9,25,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -67.28 cm-1
Breaking bond change: +0.098 Å, Forming bond change: -0.197 Å",15.51,18.75,-7.59,23.1,15.51,-67.28,FALSE
rxn_09_26,9,26,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -157.68 cm-1,21.23,18.95,-6.7,27.93,18.95,-157.68,FALSE
rxn_09_27,9,27,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -32.92 cm-1
Breaking bond change: +0.082 Å, Forming bond change: -0.126 Å",21.59,25.45,0.13,21.46,21.59,-32.92,FALSE
rxn_09_28,9,28,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -160.31 cm-1
Breaking bond change: +0.100 Å, Forming bond change: -0.316 Å",15.95,13.99,-8.48,24.43,13.99,-160.31,TRUE
rxn_09_29,9,29,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -158.94 cm-1
Breaking bond change: +-0.262 Å, Forming bond change: 0.205 Å",28.69,31.69,-12.8,41.49,28.69,-158.94,FALSE
rxn_09_30,9,30,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -137.06 cm-1,22.25,19.84,-6.69,28.94,19.84,-137.06,FALSE
rxn_09_31,9,31,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -203.60 cm-1
Breaking bond change: +0.292 Å, Forming bond change: -0.244 Å",27.28,25.36,-0.81,28.09,25.36,-203.6,FALSE
rxn_09_32,9,32,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -68.48 cm-1
Breaking bond change: +0.277 Å, Forming bond change: -0.121 Å",29.37,35.4,-6.67,36.04,29.37,-68.48,FALSE
rxn_09_33,9,33,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -296.01 cm-1
Breaking bond change: +0.107 Å, Forming bond change: -0.376 Å",22.43,19.55,-7.21,29.64,19.55,-296.01,TRUE
rxn_09_35,9,35,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -89.86 cm-1
Breaking bond change: +0.062 Å, Forming bond change: -0.161 Å",20.19,17.49,-6.54,26.73,17.49,-89.86,FALSE
rxn_09_36,9,36,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -240.66 cm-1
Breaking bond change: +0.118 Å, Forming bond change: -0.362 Å",16.02,24.46,-5.9,21.92,16.02,-240.66,TRUE
rxn_09_37,9,37,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -136.55 cm-1,19.76,21.88,-6.84,26.6,19.76,-136.55,FALSE
rxn_09_38,9,38,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -77.82 cm-1,6.66,13.62,-19.19,25.85,6.66,-77.82,FALSE
rxn_09_39,9,39,FALSE,Valid TS (full opt),No imaginary modes correspond to reaction coordinate,NA,NA,NA,NA,NA,NA,FALSE
rxn_09_40,9,40,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -149.40 cm-1,19.59,20.39,-6.84,26.43,19.59,-149.4,FALSE
rxn_09_41,9,41,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -124.43 cm-1,10.33,16.34,-6.01,16.34,10.33,-124.43,TRUE
rxn_09_42,9,42,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -161.74 cm-1,23.13,23.15,-6.65,29.78,23.13,-161.74,FALSE
rxn_09_43,9,43,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -26.44 cm-1,,,,,,-26.44,FALSE
rxn_09_45,9,45,TRUE,Valid TS (constrained),Valid TS with imaginary frequency -198.12 cm-1,13.03,14.47,-9.97,23,13.03,-198.12,TRUE
rxn_09_46,9,46,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -38.24 cm-1
Breaking bond change: +0.049 Å, Forming bond change: -0.100 Å",25.31,26.52,-6.73,32.04,25.31,-38.24,FALSE
rxn_09_47,9,47,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -131.92 cm-1,20.14,20.91,-6.58,26.72,20.14,-131.92,FALSE
rxn_09_48,9,48,FALSE,Valid TS (full opt),No imaginary modes correspond to reaction coordinate,NA,NA,NA,NA,NA,NA,FALSE
rxn_10_01,10,1,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -267.76 cm-1
Breaking bond change: +0.158 Å, Forming bond change: -0.266 Å",19.81,18.1,-10.08,29.89,18.1,-267.76,FALSE
rxn_10_03,10,3,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -128.67 cm-1,21.05,19.32,-6.85,27.9,19.32,-128.67,FALSE
rxn_10_04,10,4,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -67.54 cm-1,20.92,19.99,-8.07,28.99,19.99,-67.54,FALSE
rxn_10_05,10,5,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -106.23 cm-1,22.74,24.69,-6.46,29.2,22.74,-106.23,FALSE
rxn_10_06,10,6,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -291.68 cm-1
Breaking bond change: +0.090 Å, Forming bond change: -0.329 Å",23.4,29.3,-7.52,30.92,23.4,-291.68,TRUE
rxn_10_07,10,7,TRUE,Needs optimization,"WARNING: Found 3 imaginary frequencies. Structure needs optimization.
Best reaction mode: -50.57 cm-1
Breaking bond change: +0.158 Å, Forming bond change: -0.128 Å",24.76,28.86,-6.86,31.62,24.76,-50.57,FALSE
rxn_10_08,10,8,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -147.51 cm-1
Breaking bond change: +0.141 Å, Forming bond change: -0.256 Å",23.25,25.31,-7.79,31.04,23.25,-147.51,TRUE
rxn_10_09,10,9,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -262.78 cm-1,27.48,26.61,5.7,21.78,26.61,-262.78,FALSE
rxn_10_10,10,10,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -53.06 cm-1,18.42,25.06,-8.28,26.7,18.42,-53.06,FALSE
rxn_10_11,10,11,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -116.65 cm-1,23.3,20.53,-6.25,29.55,20.53,-116.65,FALSE
rxn_10_12,10,12,TRUE,Needs optimization,"WARNING: Found 2 imaginary frequencies. Structure needs optimization.
Best reaction mode: -281.91 cm-1
Breaking bond change: +0.080 Å, Forming bond change: -0.305 Å",20.87,22.64,-7.19,28.06,20.87,-281.91,TRUE
rxn_10_13,10,13,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -57.48 cm-1,20.9,22.46,-7.28,28.18,20.9,-57.48,FALSE
rxn_10_14,10,14,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -276.69 cm-1,23.6,23.78,-1.97,25.57,23.6,-276.69,FALSE
rxn_10_15,10,15,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -140.14 cm-1,19.54,25.3,-6.64,26.18,19.54,-140.14,FALSE
rxn_10_16,10,16,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -250.94 cm-1,28.41,25.84,-8.15,36.56,25.84,-250.94,FALSE
rxn_10_17,10,17,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -22.19 cm-1,20.4,20.51,-8.23,28.63,20.4,-22.19,FALSE
rxn_10_18,10,18,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -73.25 cm-1,21.88,25,-7.3,29.18,21.88,-73.25,FALSE
rxn_10_19,10,19,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -157.18 cm-1,21.84,18.54,-7.59,29.43,18.54,-157.18,FALSE
rxn_10_20,10,20,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -45.09 cm-1,21.3,21.18,-6.94,28.24,21.18,-45.09,FALSE
rxn_10_21,10,21,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -164.76 cm-1,19.92,19.14,-7.31,27.23,19.14,-164.76,FALSE
rxn_10_22,10,22,TRUE,Valid TS (full opt),Valid TS with imaginary frequency -113.67 cm-1,20.94,17.87,-12.06,33,17.87,-113.67,FALSE
