reaction,acyl_chlorides,amines,Controls,HTE_rate,Fast_unmeasurable,Slow_unreliable,HTE_lnk,amine_smiles,acid_smiles,test splits
rxn_02_09,2,9,7.01754386,11.72713654,False,False,1.0691919817071538,C1CCC(CC1)NC2CCCCC2,ClC(=O)c1ccccc1,TRAIN
rxn_02_10,2,10,7.01754386,52.38938053,False,False,1.7192432632314303,CCCCCCc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_11,2,11,7.01754386,8.530278697,False,True,0.9309632204514595,CSc1ccccc1N,ClC(=O)c1ccccc1,TRAIN
rxn_02_12,2,12,7.01754386,8.579325594,False,True,0.9334531500496517,Nc1ccccc1c2ccccc2,ClC(=O)c1ccccc1,TRAIN
rxn_02_13,2,13,7.01754386,48.29948228,False,False,1.683942475593247,CC(C)(C)c1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_14,2,14,7.01754386,11.0988149,False,False,1.0452766085283072,CC(C)NC(C)C,ClC(=O)c1ccccc1,TRAIN
rxn_02_15,2,15,7.01754386,9.181077191,False,True,0.9628936387897244,Nc1ccc(Br)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_16,2,16,7.01754386,1706.666667,False,False,3.2321487063409915,CC1CCCCN1,ClC(=O)c1ccccc1,TRAIN
rxn_02_17,2,17,7.01754386,12.78679382,False,False,1.1067616624742025,Nc1cccc2cccnc12,ClC(=O)c1ccccc1,TRAIN
rxn_02_18,2,18,7.01754386,10.82514578,False,False,1.0344337536187767,CC(=O)c1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN
rxn_02_19,2,19,7.01754386,0.0,True,False,-inf,C1COCCN1,ClC(=O)c1ccccc1,TRAIN
rxn_02_20,2,20,7.01754386,10.57641379,False,False,1.0243384337450268,COc1ccc(cc1N)C(F)(F)F,ClC(=O)c1ccccc1,TRAIN
rxn_02_21,2,21,7.01754386,31.26436782,False,False,1.495049651469867,COCCOc1ccccc1N,ClC(=O)c1ccccc1,TRAIN
rxn_02_22,2,22,7.01754386,731.4285714,False,False,2.8641719209446093,CCC(N)CC,ClC(=O)c1ccccc1,TRAIN
rxn_02_23,2,23,7.01754386,11.87665368,False,False,1.074694092747203,CC1CCCC(C)N1,ClC(=O)c1ccccc1,TRAIN
rxn_02_24,2,24,7.01754386,14.00695001,False,False,1.1463435786811749,Nc1ccc(C=C)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_25,2,25,7.01754386,64.0,False,False,1.806179973983887,Cc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_26,2,26,7.01754386,25.37421401,False,False,1.4043925984520433,Cc1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN
rxn_02_27,2,27,7.01754386,13.09606031,False,False,1.117140666422203,CC(C)NC1CCCCC1,ClC(=O)c1ccccc1,TRAIN
rxn_02_28,2,28,7.01754386,24.40608513,False,False,1.3874981217853861,COc1ccccc1N,ClC(=O)c1ccccc1,TRAIN
rxn_02_29,2,29,7.01754386,8.936615528,False,True,0.9511730740743746,NC(c1ccccc1)(c2ccccc2)c3ccccc3,ClC(=O)c1ccccc1,TRAIN
rxn_02_30,2,30,7.01754386,8.084679817,False,True,0.9076628249271965,Cc1cccc(C)c1N,ClC(=O)c1ccccc1,TRAIN
rxn_02_31,2,31,7.01754386,8.102404365,False,True,0.9086139136323077,CC1CN(C(OC(C)(C)C)=O)CC(C)N1,ClC(=O)c1ccccc1,TRAIN
rxn_02_32,2,32,7.01754386,7.165362271,False,True,0.8552381526285389,N#CCCNc1ccccc1,ClC(=O)c1ccccc1,TRAIN
rxn_02_33,2,33,7.01754386,7.804959436,False,True,0.8923706502854135,Nc1ccccc1F,ClC(=O)c1ccccc1,TRAIN
rxn_02_35,2,35,7.01754386,11.37995576,False,False,1.0561405737264316,COc1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN
rxn_02_36,2,36,7.01754386,8.09801201,False,True,0.9083784165263511,Nc1ccc(cc1)C(=O)c2ccccc2,ClC(=O)c1ccccc1,TRAIN
rxn_02_37,2,37,7.01754386,28.93238689,False,False,1.4613842639416232,FC1=CC=C(OC2=CC=C(N)C=C2)C=C1,ClC(=O)c1ccccc1,TEST1
rxn_03_01,3,1,3.638349599,2.005994566,False,True,0.30232975223404485,CC(N)(C)C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_03,3,3,3.638349599,7.999517679,False,False,0.9030638025340028,Nc1ccc(F)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_04,3,4,3.638349599,89.4115639,False,False,1.9513936912028553,COc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_05,3,5,3.638349599,8.106494264,False,False,0.9088330797392212,Nc1ccccc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_06,3,6,3.638349599,8.786975342,False,False,0.9438394076863004,Nc1c(C)cc(C)cc1C,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
rxn_03_07,3,7,3.638349599,26.8262291,False,False,1.4285596292072016,CCCCCCCc1ccc(N)cc1,CC(C)(C)c1ccc(cc1)C(Cl)=O,TRAIN
