name,acyl_chlorides,num_Hs,IP,EA,HOMO,LUMO,global_E,global_N,hardness,BV_main_1,SA,SV,PYR,DISP_mol,DISP_atom,Charges_main_atom,fukui_E_main_atom,fukui_N_main_atom,BV_secondary_1,BV_secondary_2,L_main_atom_1,L_main_atom_2,B1_main_atom_1,B1_main_atom_2,B5_main_atom_1,B5_main_atom_2,Charges_secondary_1,Charges_secondary_2,fukui_E_secondary_1,fukui_E_secondary_2,fukui_N_secondary_1,fukui_N_secondary_2,BV_secondary_avg,L_avg,B1_avg,B5_avg,Charges_secondary_avg,fukui_E_secondary_avg,fukui_N_secondary_avg,FCS_1,FREQS_1,FCS_2,FREQS_2,FCS_avg,FREQS_avg,BV_Hs_avg,Charges_Hs_avg,fukui_E_Hs_avg,fukui_N_Hs_avg
11_acid_chloride.sdf,11,2,9.387623819356188,3.855267056598569,-0.4330121987027013,-0.2825634307565882,0.8492165233193154,-9.387623819356188,5.532356762757619,94.89074568243002,291.8486171927082,407.32534253462546,0.0008438496468695,15.367441607446288,22.847342685180248,0.3077482595895223,0.1480813789571861,-0.0005032701188934,49.67314975525923,84.4798107517276,3.973457476882859,4.960576069412507,1.75,1.7746133595989722,6.157923381627422,5.799860228723102,-0.1909739842977174,-0.0854946487849155,0.2834373864297889,-0.0299312978436571,0.2247191582646616,-0.011614011810999,67.07648025349341,4.467016773147683,1.7623066797994862,5.978891805175262,-0.1382343165413165,0.1267530442930658,0.1065525732268313,1.659646447281572,561.5084950476843,3.9359413900889018,1055.1727473283045,2.7977939186852367,808.3406211879944,73.45859046,0.082593081,0.085294764,0.057636851
12_acid_chloride.sdf,12,0,9.224154572113212,5.938430473122525,-0.4262875802985013,-0.3152707810365376,1.6360602883832471,-9.224154572113212,3.2857240989906877,95.46494733774,318.68984623803664,457.7857262088903,0.0019651277645872,17.954529553976332,23.717153624441345,0.2994172834838103,0.0514889029244463,-0.0016734761115623,49.176345044380824,112.63870176431566,3.955487463263038,8.136044670896027,1.75,1.7501011934308883,7.009594681462264,3.414990823230252,-0.1759808149942749,-0.0063504239746633,0.1758270542697562,0.0458252640741144,0.2412019757015417,0.0475969649518356,80.90752340434824,6.045766067079533,1.7500505967154445,5.212292752346258,-0.0911656194844691,0.1108261591719353,0.1443994703266887,1.7792779659155786,581.3938601726248,4.124600512161262,1080.1652467398733,2.9519392390384205,830.779553456249,,,,
13_acid_chloride.sdf,13,2,8.85851344888711,3.739391341866568,-0.4234078207479849,-0.2791391173349621,0.7537793721887048,-8.85851344888711,5.119122107020541,93.6848176158136,350.54893300810386,506.86788593883455,0.023079706177226,15.823427726904754,23.577408427109507,0.3065579330495492,0.1519641206082453,-0.0008384678746793,43.09022585995673,85.25273429138893,3.975754852109121,5.296451355304051,1.75,1.976998464072796,4.251280618416894,7.7419563895063614,-0.201666712303999,-0.0867072970744231,0.2795823381204076,-0.035987576485978,0.2066291267143515,-0.00750635629954,64.17148007567283,4.636103103706586,1.863499232036398,5.996618503961628,-0.1441870046892111,0.1217973808172148,0.0995613852074057,1.6466493259945914,559.3055142958019,3.923360968866465,1053.4850771365411,2.785005147430528,806.3952957161715,76.30606588,0.089801785,0.09910709,0.039872704
14_acid_chloride.sdf,14,3,10.643308020206224,3.768034085821315,-0.4375405082309664,-0.2839842579205682,0.9757447240540148,-10.643308020206224,6.875273934384909,78.83715514080338,208.14850389162223,261.20758343439536,0.0008540198688233,13.86881652054548,19.985905003755924,0.312364962142346,0.1526151698548913,0.016472391829962,42.93438606643908,48.659668145067286,3.969789537281715,3.5914951357614275,1.75,1.791140433886336,3.21118704308146,3.4294273864193894,-0.1891238519418599,-0.1463072264648048,0.2906144660106105,-0.0619839005489509,0.450793843992484,-0.0011848102336816,45.79702710575319,3.7806423365215713,1.770570216943168,3.3203072147504247,-0.1677155392033323,0.1143152827308297,0.2248045168794012,1.7115892732028744,570.2277112195463,4.237328469636575,1094.8265482154964,2.9744588714197246,832.5271297175213,55.96914714,0.099930105,0.10726535,0.09984269
15_acid_chloride.sdf,15,0,9.828525249366518,6.036628424123832,-0.4431044606275673,-0.3220386551143302,1.7571080978468463,-9.828525249366518,3.791896825242685,95.45553419584968,362.8870704363742,534.4545025903165,0.0002929300379323,17.429269491118674,23.6143527879619,0.300072907519298,0.0523405859321835,-0.0008383974209836,49.13555476285607,112.63451814569773,3.9571187288056096,9.52786345972315,1.75,2.067710398417597,7.991667642198727,3.763649843358448,-0.1704219686180677,-0.0054303753599216,0.1812612618010562,0.0471532536363347,0.2841590519605754,0.0520708442271254,80.88503645427689,6.74249109426438,1.9088551992087983,5.877658742778587,-0.0879261719889946,0.1142072577186955,0.1681149480938504,1.7856076393391742,582.4270787788938,4.199584496394207,1089.939561321876,2.9925960678666907,836.183320050385,,,,
16_acid_chloride.sdf,16,0,8.508559848335487,5.920176941584624,-0.4016304314576983,-0.3070442534036125,1.54398901591251,-8.508559848335487,2.588382906750863,101.37849225417476,351.8411787242,525.7257514366407,0.0036125995599726,18.783436389440652,25.4870886500132,0.2995433830424394,0.0363903877677849,-0.0034513751543393,49.35101112167912,120.56038361735362,3.969728290157627,6.963675750890612,1.7535275842251337,1.909989384050421,5.946939465509725,5.741988389027213,-0.1958474572417246,-0.0129320424995282,0.14690894575159,0.0406802074992559,0.1821460451454668,0.0470994632968822,84.95569736951637,5.46670202052412,1.8317584841377772,5.844463927268469,-0.1043897498706264,0.093794576625423,0.1146227542211745,1.666671368948496,562.6956117079067,4.035650749331376,1068.4545229982157,2.851161059139936,815.5750673530611,,,,
17_acid_chloride.sdf,17,0,9.320545466796982,6.538965831742342,-0.4265481786042918,-0.3316003474363062,1.987809975880121,-9.320545466796982,2.7815796350546407,95.48481952617514,378.2073482419041,566.2700391772983,0.0086034180942858,18.310863422945804,23.78288278680356,0.2991143379920179,0.0395311127200834,-0.0002876402245068,49.15124333267328,112.82173507884978,3.953956127515301,9.566275697801366,1.75,1.8581591720862032,8.357401564950246,4.208451689279743,-0.1622879658003848,0.0027949773523122,0.156366962119288,0.0449219930596889,0.2251866985955761,0.0211840097844441,80.98648920576153,6.760115912658334,1.8040795860431016,6.282926627114994,-0.0797464942240362,0.1006444775894884,0.1231853541900101,1.8068902091518189,585.8877572923252,4.0010548337758305,1063.8649628940557,2.903972521463825,824.8763600931903,,,,
18_acid_chloride.sdf,18,0,9.093962264893754,5.469926001641949,-0.4222560807725881,-0.301014124976704,1.3936975802954827,-9.093962264893754,3.6240362632518055,95.56849189853362,321.48016248887814,462.19074109959377,0.0,17.410119269634052,23.75888567676158,0.2984413817288319,0.0555798723304178,-0.001821282516744,49.032010202062466,112.5309735849041,3.963560997044213,7.880693177823011,1.75,1.901223064305148,7.031923363623319,3.411214141388296,-0.1940161313655639,-0.0102571994387336,0.179858392170935,0.0429553021664025,0.2483252023429288,0.054149564807967,80.78149189348329,5.922127087433612,1.825611532152574,5.221568752505807,-0.1021366654021488,0.1114068471686687,0.1512373835754479,1.7248108731687408,572.4259076338438,4.204285474239819,1090.5494250665135,2.9645481737042796,831.4876663501786,,,,
19_acid_chloride.sdf,19,0,9.11251887950193,6.08647946561271,-0.4282828361395899,-0.3168896465230157,1.701982311991998,-9.11251887950193,3.0260394138892206,102.60115479526289,340.2095755836553,498.5589962484232,0.0005343807657447,18.702934543355543,25.825508459326183,0.3079138263586156,0.0466949330279381,-0.005963366532037,49.49639186865197,121.59582922528968,3.954689480215364,8.154632545019027,1.7978292298095335,1.9897882023404951,7.189967679074045,4.5088997105103985,-0.165233658293936,-0.0144071919295488,0.1723636769044154,0.0467627648988626,0.1964825988904604,0.0456568759394342,85.54611054697082,6.054661012617196,1.8938087160750143,5.849433694792221,-0.0898204251117424,0.109563220901639,0.1210697374149473,1.7875462074172723,582.7431527683601,3.993979540686015,1062.923900180139,2.890762874051644,822.8335264742495,,,,
20_acid_chloride.sdf,20,0,9.868364311454702,5.463332620597539,-0.4349097088929947,-0.3107619970625971,1.485642950768314,-9.868364311454702,4.405031690857163,92.57825049137284,269.63921432672066,368.1842552482288,0.0001811790942363,16.24902953515629,22.145068825733503,0.2931759279548695,0.0660003447180799,0.0021436571120165,47.86896422627975,106.00662035025256,3.945597254397544,6.061676729192685,1.75,1.720643818406075,5.55738163064882,3.3813647970877083,-0.1523998251559264,0.0937291948247007,0.2039690241864557,0.0350982661681498,0.3301549948501152,0.0633212728317065,76.93779228826615,5.003636991795115,1.7353219092030376,4.4693732138682645,-0.0293353151656128,0.1195336451773028,0.1967381338409109,1.910442070891974,602.4423271504941,4.870229042491709,1173.7455198078453,3.3903355566918414,888.0939234791697,,,,
