acyl_chlorides,amines,y_true,y_pred,y_std_unweighted,y_std_weighted,lower90,upper90,lower95,upper95
10,28,2.107897144593646,1.213890019180173,0.06269389062840089,0.05583466657460284,0.5617095943361011,1.8660704440242446,0.35667490430188065,2.071105134058465
11,8,2.355157938424429,2.447315187018325,0.12058011737479957,,1.795134762174253,3.099495611862397,1.5901000721400327,3.3045303018966172
11,23,2.00880125804624,2.0094836574023605,0.13873443096563812,0.19375670479981552,1.3573032325582886,2.6616640822464324,1.1522685425240682,2.8666987722806527
11,26,2.6461512732611605,2.8178360332968486,0.08662539295047825,0.07613452250655742,2.1656556084527767,3.4700164581409205,1.9606209184185563,3.675051148175141
12,4,2.6258150518340497,2.780628938005579,0.06674448988066813,0.03568437425665974,2.128448513161507,3.432809362849651,1.9234138231272868,3.6378440528838714
12,25,2.229965202886006,2.094239957735473,0.02111709518919639,0.03105539653280995,1.4420595328914012,2.746420382579545,1.2370248428571808,2.9514550726137654
13,3,2.7329480604716214,2.844223788167457,0.05348424183548478,0.028401115244302493,2.192043363323385,3.496404213011529,1.9870086732891648,3.7014389030457493
13,7,3.0319775014575177,3.1490432241787936,0.09497624289923703,0.0871114112850793,2.4968627993347217,3.8012236490228655,2.2918281093005013,4.006258339057085
13,13,3.1393946528738583,2.836644102956263,0.06038230844395253,0.05647926499833239,2.184463678112191,3.4888245278003347,1.9794289880779705,3.693859217834555
13,18,2.489522882514702,2.8981935842533204,0.1103359823687585,,2.2460131594092485,3.5503740090973923,2.040978469375028,3.7554086991316127
13,19,2.709269960975831,3.239082626229197,0.08760892115190527,,2.5869022013851253,3.891263051073269,2.381867511350905,4.09629774110749
13,21,3.584331224367531,2.7667347859188274,0.08122570015317584,0.10979554986251398,2.1145543610747555,3.4189152107628993,1.909519671040535,3.6239499007971196
13,25,2.9311187105752223,3.103786003331389,0.057929054918686766,0.06813991622930066,2.451605578487317,3.755966428175461,2.2465708884530966,3.961001118209681
13,31,2.2191334097218745,2.447658832568991,0.03405435212711461,0.03835068138287968,1.7954784077249193,3.099839257413063,1.590443717690699,3.3048739474472835
13,32,2.216413193068405,2.3350645359993125,0.06610490159023054,0.09813759372372419,1.6828841111552406,2.9872449608433844,1.4778494211210202,3.192279650877605
14,3,2.9995510504984804,2.9711520374672684,0.15671271443047688,0.21557695425249523,2.3189716126231965,3.6233324623113403,2.113936922588976,3.8283671523455607
14,14,2.6589210464292243,2.080885559403737,0.08667985149614969,,1.428705134559665,2.733065984247809,1.2236704445254447,2.9381006742820293
14,17,3.1167055943194395,2.7198731235765647,0.09294798979059671,0.08436880393305482,2.067692698732493,3.3720535484206366,1.8626580086982725,3.577088238454857
14,18,2.6603076103403294,2.652452249657613,0.06660125426485121,,2.000271824813541,3.304632674501685,1.7952371347793208,3.5096673645359053
14,20,3.885361220031512,2.45786725095802,0.07444731481468286,0.07511039556407473,1.805686826113948,3.110047675802092,1.6006521360797277,3.315082365836312
14,21,3.1514136320961423,2.864684641815148,0.08018064100479642,,2.2125042169710762,3.51686506665922,2.007469526936856,3.7218997566934404
14,23,2.2742830166092114,2.488345946682248,0.06141762084061043,,1.836165521838176,3.14052637152632,1.6311308318039557,3.3455610615605402
14,26,3.2321487063409915,3.083900881114931,0.0374309233891922,,2.431720456270859,3.736081305959003,2.226685766236639,3.9411159959932234
14,28,3.584331224367531,2.9238132182310483,0.06862255796726674,0.10176663581145355,2.2716327933869764,3.5759936430751202,2.066598103352756,3.7810283331093406
15,12,0.9652270874078064,1.3140966850169182,0.05404260681690577,0.0549925486335741,0.6619162601728464,1.96627710986099,0.45688157013862596,2.1713117998952107
15,15,0.663625798099341,1.0303057013995442,0.051689788478725476,0.08000363933391699,0.37812527655547246,1.682486126243616,0.17309058652125198,1.8875208162778365
15,18,0.8933844853587353,1.2765668778855064,0.04959137526453597,,0.6243864530414346,1.9287473027295783,0.4193517630072141,2.1337819927637987
15,36,0.755678304987546,1.2365940099181392,0.06103615310109371,,0.5844135850740674,1.8887744347622109,0.3793788950398469,2.093809124796431
16,4,2.269712883557757,2.0214512577097796,0.025973780911033542,,1.3692708328657077,2.6736316825538515,1.1642361428314874,2.878666372588072
16,10,1.6348879324268837,1.3922992576290592,0.05630100410869158,,0.7401188327849874,2.044479682473131,0.5350841427507669,2.2495143725073516
16,12,0.6502613552718077,0.6036952762018526,0.08464705118281109,0.10848453012333224,-0.0484851486422192,1.2558757010459245,-0.2535198386764397,1.4609103910801449
16,16,3.419520975712839,2.7958101026520774,0.12068013899298173,0.09688986716301003,2.1436296778080055,3.4479905274961493,1.9385949877737851,3.6530252175303697
16,28,1.252605541210554,1.1484048796435509,0.13373374413819408,0.2023833035148124,0.4962244547994791,1.8005853044876226,0.2911897647652586,2.005619994521843
17,6,1.731448505387122,1.8304472558541873,0.020434177700679047,0.023634676055338883,1.1782668310101156,2.482627680698259,0.973232140975895,2.68766237073248
17,8,1.2115855788989762,1.323624516499126,0.04818279529241778,0.016474830034755448,0.6714440916550543,1.9758049413431977,0.4664094016208338,2.1808396313774185
17,10,2.310458272502587,2.504397422178946,0.037659086436071805,0.04261428868259154,1.852216997334874,3.156577847023018,1.6471823073006537,3.3616125370572383
17,12,1.3048988672582988,1.4915423218627974,0.058412763860126476,0.06948613595286034,0.8393618970187257,2.143722746706869,0.6343272069845052,2.3487574367410895
17,25,2.207503074027805,2.914607947279296,0.06098735770982122,,2.262427522435224,3.566788372123368,2.057392832401004,3.7718230621575883
17,31,1.8334632332387368,1.8944078736105252,0.10836053887209235,,1.2422274487664535,2.546588298454597,1.037192758732233,2.7516229884888173
18,12,-0.1581060393197203,0.5998608193929738,0.055786788543511705,0.08241447162374628,-0.05231960545109804,1.2520412442370454,-0.2573542954853185,1.457075934271266
18,16,2.635743393971506,2.8623107391261415,0.10339816042895253,0.1082664888496924,2.2101303142820696,3.5144911639702134,2.0050956242478493,3.719525854004434
18,17,0.4604059250321966,0.7114904638823756,0.06158203457148661,0.035582444256981836,0.059310039038303786,1.3636708887264475,-0.1457246509959167,1.5687055787606679
