acyl_chlorides,amines,Controls,HTE_rate (old),Fast_unmeasurable,Slow_unreliable,amine_smiles,acid_smiles,test splits,HTE_rate_corrected (all),HTE_rate_corrected,predicted_bias_correction,classified_rate,NMR_rate
2,13,7.01754386,48.29948228,FALSE,FALSE,CC(C)(C)c1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN,48.29782852,48.29948228,0.001653756,0,
2,14,7.01754386,11.0988149,FALSE,FALSE,CC(C)NC(C)C,ClC(=O)c1ccccc1,TRAIN,11.06247428,11.0988149,0.036340618,0,
2,15,7.01754386,9.181077191,FALSE,TRUE,Nc1ccc(Br)cc1,ClC(=O)c1ccccc1,TRAIN,7.824796623,7.824796623,1.356280568,0,
2,16,7.01754386,1706.666667,FALSE,FALSE,CC1CCCCN1,ClC(=O)c1ccccc1,TRAIN,1706.657648,1706.666667,0.009019336,0,
2,17,7.01754386,12.78679382,FALSE,FALSE,Nc1cccc2cccnc12,ClC(=O)c1ccccc1,TRAIN,12.68576699,12.78679382,0.101026834,0,
2,18,7.01754386,10.82514578,FALSE,FALSE,CC(=O)c1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN,9.89991515,10.82514578,0.92523063,0,
2,19,7.01754386,0,TRUE,FALSE,C1COCCN1,ClC(=O)c1ccccc1,TRAIN,0,0,0,1,
2,20,7.01754386,10.57641379,FALSE,FALSE,COc1ccc(cc1N)C(F)(F)F,ClC(=O)c1ccccc1,TRAIN,8.81965969,10.57641379,1.7567541,0,
2,21,7.01754386,31.26436782,FALSE,FALSE,COCCOc1ccccc1N,ClC(=O)c1ccccc1,TRAIN,31.2427769,31.26436782,0.021590921,0,
2,22,7.01754386,731.4285714,FALSE,FALSE,CCC(N)CC,ClC(=O)c1ccccc1,TRAIN,731.4093988,731.4285714,0.019172611,0,
2,23,7.01754386,11.87665368,FALSE,FALSE,CC1CCCC(C)N1,ClC(=O)c1ccccc1,TRAIN,11.42466473,11.87665368,0.451988949,0,
2,24,7.01754386,14.00695001,FALSE,FALSE,Nc1ccc(C=C)cc1,ClC(=O)c1ccccc1,TRAIN,13.85440743,14.00695001,0.15254258,0,
2,25,7.01754386,64,FALSE,FALSE,Cc1ccc(N)cc1,ClC(=O)c1ccccc1,TRAIN,63.99834624,64,0.001653756,0,
2,26,7.01754386,25.37421401,FALSE,FALSE,Cc1cccc(N)c1,ClC(=O)c1ccccc1,TRAIN,25.37256025,25.37421401,0.001653756,0,
2,27,7.01754386,13.09606031,FALSE,FALSE,CC(C)NC1CCCCC1,ClC(=O)c1ccccc1,TRAIN,12.7300549,13.09606031,0.366005414,0,
2,28,7.01754386,24.40608513,FALSE,FALSE,COc1ccccc1N,ClC(=O)c1ccccc1,TRAIN,24.39455275,24.40608513,0.011532379,0,
2,29,7.01754386,8.936615528,FALSE,TRUE,NC(c1ccccc1)(c2ccccc2)c3ccccc3,ClC(=O)c1ccccc1,TRAIN,7.455902379,7.455902379,1.480713149,0,
