n_features,reg_model,reg_cv_r2_mean,reg_test_r2,selection_mode,features
32,LightGBM,0.5918146149701238,0.4696020696016878,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
33,LightGBM,0.5301920936279435,0.4766795510978473,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
34,XGBoost,0.5871140764020428,0.5020661814244389,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
35,XGBoost,0.5714390522614343,0.5042036675519679,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
36,XGBoost,0.5483012170161936,0.5067618029095168,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
37,LightGBM,0.5632322356107733,0.5020423312791437,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_EA', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
38,LightGBM,0.5831975546531579,0.5418173663211054,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'acyl_EA', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_EA', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
39,LightGBM,0.6104092704919195,0.5165423040008345,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'amine_class_2_aliphatic', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'acyl_EA', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_EA', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
40,LightGBM,0.566857851232367,0.5185177964655687,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'amine_class_2_aliphatic', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'acyl_EA', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_fukui_N_secondary_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_EA', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
41,LightGBM,0.5833214126533685,0.4990656775686081,in_all,"['amine_fukui_N_secondary_1', 'amine_IP', 'acyl_pka_aHs_x_has_acidic_H', 'acyl_pka_aHs_x_has_pKa_features', 'acyl_BV_main_1', 'amine_class_2_mixture', 'amine_B5_avg', 'amine_class_2_aliphatic', 'acyl_fukui_N_Hs_avg', 'acyl_has_acidic_H_for_pka_aHs', 'amine_SV', 'acyl_global_E', 'amine_BV_main_1', 'amine_BV_secondary_1', 'amine_BV_secondary_avg', 'acyl_has_pKa_features', 'acyl_hardness', 'amine_FCS_avg', 'amine_FREQS_1', 'amine_B1_avg', 'amine_B5_main_atom_1', 'acyl_B1_avg', 'acyl_EA', 'amine_fukui_N_secondary_avg', 'acyl_B1_main_atom_1', 'acyl_fukui_N_secondary_1', 'acyl_class_hetero', 'amine_Charges_secondary_avg', 'amine_DISP_mol', 'amine_DISP_atom', 'acyl_has_acidic_H_for_pka_lowest', 'acyl_num_Hs', 'acyl_B1_main_atom_2', 'amine_class_1_aromatic', 'acyl_fukui_E_Hs_avg', 'amine_PYR', 'amine_global_N', 'amine_EA', 'amine_fukui_N_main_atom', 'acyl_BV_secondary_1', 'acyl_class_aromatic']"
